material_id,display_name,family,standard_hint,condition_temper,source_id,confidence,design_allowable_status
AL1050_H14,Aluminum 1050-H14,aluminum,EN AW-1050A,H14,ASM_GENERIC,seed_typical,verify_before_release
AL1060_H14,Aluminum 1060-H14,aluminum,AA 1060,H14,ASM_GENERIC,seed_typical,verify_before_release
AL1100_H14,Aluminum 1100-H14,aluminum,AA 1100,H14,ASM_GENERIC,seed_typical,verify_before_release
AL2011_T3,Aluminum 2011-T3,aluminum,AA 2011,T3,ASM_GENERIC,seed_typical,verify_before_release
AL2014_T6,Aluminum 2014-T6,aluminum,AA 2014,T6,ASM_GENERIC,seed_typical,verify_before_release
AL2024_T3,Aluminum 2024-T3,aluminum,AA 2024,T3,NIST_ALUMINUM,seed_typical,verify_before_release
AL3003_H14,Aluminum 3003-H14,aluminum,AA 3003,H14,ASM_GENERIC,seed_typical,verify_before_release
AL5005A_H34,Aluminum 5005A-H34,aluminum,EN AW-5005A,H34,ASM_GENERIC,seed_typical,verify_before_release
AL5052_H32,Aluminum 5052-H32,aluminum,AA 5052,H32,ASM_GENERIC,seed_typical,verify_before_release
AL5083_H111,Aluminum 5083-H111,aluminum,AA 5083,H111,ASM_GENERIC,seed_typical,verify_before_release
AL5754_H111,Aluminum 5754-H111,aluminum,AA 5754,H111,ASM_GENERIC,seed_typical,verify_before_release
AL6005A_T6,Aluminum 6005A-T6,aluminum,EN AW-6005A,T6,ASM_GENERIC,seed_typical,verify_before_release
AL6060_T6,Aluminum 6060-T6,aluminum,EN AW-6060,T6,ASM_GENERIC,seed_typical,verify_before_release
AL6061_T6,Aluminum 6061-T6,aluminum,AA 6061,T6,NIST_ALUMINUM,seed_typical,verify_before_release
AL6063_T5,Aluminum 6063-T5,aluminum,AA 6063,T5,ASM_GENERIC,seed_typical,verify_before_release
AL6063_T6,Aluminum 6063-T6,aluminum,AA 6063,T6,ASM_GENERIC,seed_typical,verify_before_release
AL6082_T6,Aluminum 6082-T6,aluminum,EN AW-6082,T6,ASM_GENERIC,seed_typical,verify_before_release
AL6262_T6,Aluminum 6262-T6,aluminum,AA 6262,T6,ASM_GENERIC,seed_typical,verify_before_release
AL7050_T7451,Aluminum 7050-T7451,aluminum,AA 7050,T7451,ASM_GENERIC,seed_typical,verify_before_release
AL7075_T6,Aluminum 7075-T6,aluminum,AA 7075,T6,MATWEB_PUBLIC,seed_typical,verify_before_release
AL7075_T651,Aluminum 7075-T651,aluminum,AA 7075,T651,MATWEB_PUBLIC,seed_typical,verify_before_release
STEEL_ST37_2,Steel St37-2,steel_structural,DIN 17100,hot_rolled,EN_STEEL_PUBLIC,seed_typical,verify_before_release
STEEL_S235JR,Steel S235JR,steel_structural,EN 10025,S235JR,EN_STEEL_PUBLIC,seed_typical,verify_before_release
STEEL_S275JR,Steel S275JR,steel_structural,EN 10025,S275JR,EN_STEEL_PUBLIC,seed_typical,verify_before_release
STEEL_S355JR,Steel S355JR,steel_structural,EN 10025,S355JR,EN_STEEL_PUBLIC,seed_typical,verify_before_release
STEEL_A36,Steel ASTM A36,steel_structural,ASTM A36,hot_rolled,ASM_GENERIC,seed_typical,verify_before_release
STEEL_1008_CR,Steel AISI 1008 CR,carbon_steel,AISI 1008,cold_rolled,ASM_GENERIC,seed_typical,verify_before_release
STEEL_1010_CR,Steel AISI 1010 CR,carbon_steel,AISI 1010,cold_rolled,ASM_GENERIC,seed_typical,verify_before_release
STEEL_1018_CR,Steel AISI 1018 CR,carbon_steel,AISI 1018,cold_rolled,ASM_GENERIC,seed_typical,verify_before_release
STEEL_1020_HR,Steel AISI 1020 HR,carbon_steel,AISI 1020,hot_rolled,ASM_GENERIC,seed_typical,verify_before_release
STEEL_1030_NORM,Steel AISI 1030 normalized,carbon_steel,AISI 1030,normalized,ASM_GENERIC,seed_typical,verify_before_release
STEEL_1040_NORM,Steel AISI 1040 normalized,carbon_steel,AISI 1040,normalized,ASM_GENERIC,seed_typical,verify_before_release
STEEL_1045_NORM,Steel AISI 1045 normalized,carbon_steel,AISI 1045,normalized,ASM_GENERIC,seed_typical,verify_before_release
STEEL1050_HR,Steel AISI 1050 HR,carbon_steel,AISI 1050,hot_rolled,ASM_GENERIC,seed_typical,verify_before_release
STEEL_C35_NORM,Steel C35 normalized,carbon_steel,EN C35,normalized,EN_STEEL_PUBLIC,seed_typical,verify_before_release
STEEL_C45_NORM,Steel C45 normalized,carbon_steel,EN C45,normalized,EN_STEEL_PUBLIC,seed_typical,verify_before_release
STEEL_C60_NORM,Steel C60 normalized,carbon_steel,EN C60,normalized,EN_STEEL_PUBLIC,seed_typical,verify_before_release
STEEL4130_NORM,Steel AISI 4130 normalized,alloy_steel,AISI 4130,normalized,ASM_GENERIC,seed_typical,verify_before_release
STEEL4130_QT,Steel AISI 4130 Q&T,alloy_steel,AISI 4130,quenched_tempered,ASM_GENERIC,seed_typical,verify_before_release
STEEL4140_NORM,Steel AISI 4140 normalized,alloy_steel,AISI 4140,normalized,ASM_GENERIC,seed_typical,verify_before_release
STEEL4140_QT,Steel AISI 4140 Q&T,alloy_steel,AISI 4140,quenched_tempered,ASM_GENERIC,seed_typical,verify_before_release
STEEL4340_QT,Steel AISI 4340 Q&T,alloy_steel,AISI 4340,quenched_tempered,ASM_GENERIC,seed_typical,verify_before_release
STEEL8620_CARB,Steel AISI 8620 carburized,alloy_steel,AISI 8620,carburized,ASM_GENERIC,seed_typical,verify_before_release
STEEL_16MNCR5_CARB,Steel 16MnCr5 carburized,alloy_steel,EN 16MnCr5,carburized,EN_STEEL_PUBLIC,seed_typical,verify_before_release
STEEL_42CRMO4_QT,Steel 42CrMo4 Q&T,alloy_steel,EN 42CrMo4,quenched_tempered,EN_STEEL_PUBLIC,seed_typical,verify_before_release
STEEL_52100,Steel AISI 52100 bearing steel,bearing_steel,AISI 52100,hardened,ASM_GENERIC,seed_typical,verify_before_release
STEEL_100CR6,Steel 100Cr6 bearing steel,bearing_steel,EN 100Cr6,hardened,EN_STEEL_PUBLIC,seed_typical,verify_before_release
SS_301_ANN,Stainless 301 annealed,stainless_steel,AISI 301,annealed,ASM_GENERIC,seed_typical,verify_before_release
SS_304_ANN,Stainless 304 annealed,stainless_steel,AISI 304,annealed,ASM_GENERIC,seed_typical,verify_before_release
SS_304L_ANN,Stainless 304L annealed,stainless_steel,AISI 304L,annealed,ASM_GENERIC,seed_typical,verify_before_release
SS_316_ANN,Stainless 316 annealed,stainless_steel,AISI 316,annealed,ASM_GENERIC,seed_typical,verify_before_release
SS_316L_ANN,Stainless 316L annealed,stainless_steel,AISI 316L,annealed,ASM_GENERIC,seed_typical,verify_before_release
SS_410_HT,Stainless 410 heat treated,stainless_steel,AISI 410,heat_treated,ASM_GENERIC,seed_typical,verify_before_release
SS_420_HT,Stainless 420 heat treated,stainless_steel,AISI 420,heat_treated,ASM_GENERIC,seed_typical,verify_before_release
SS_430_ANN,Stainless 430 annealed,stainless_steel,AISI 430,annealed,ASM_GENERIC,seed_typical,verify_before_release
SS_17_4PH_H900,Stainless 17-4PH H900,stainless_steel,17-4PH,H900,ASM_GENERIC,seed_typical,verify_before_release
SS_15_5PH_H1025,Stainless 15-5PH H1025,stainless_steel,15-5PH,H1025,ASM_GENERIC,seed_typical,verify_before_release
TOOL_O1_HARD,Tool Steel O1 hardened,tool_steel,AISI O1,hardened,ASM_GENERIC,seed_typical,verify_before_release
TOOL_A2_HARD,Tool Steel A2 hardened,tool_steel,AISI A2,hardened,ASM_GENERIC,seed_typical,verify_before_release
