material_id,density_kg_m3,young_modulus_gpa,shear_modulus_gpa,bulk_modulus_gpa,poisson_ratio,yield_strength_mpa,ultimate_tensile_strength_mpa,compressive_yield_mpa,shear_yield_mpa,ultimate_shear_mpa,fatigue_strength_mpa,elongation_percent,hardness_brinell,thermal_expansion_um_m_k,thermal_conductivity_w_m_k,specific_heat_j_kg_k,source_id,value_basis
AL1050_H14,2710,69,26,76,0.33,110,115,110,64,75,45,10,30,23.6,230,900,ASM_GENERIC,typical_seed_verify
AL1060_H14,2700,69,26,76,0.33,95,110,95,55,70,40,12,26,23.6,234,900,ASM_GENERIC,typical_seed_verify
AL1100_H14,2710,69,26,76,0.33,105,110,105,61,70,42,10,28,23.6,222,900,ASM_GENERIC,typical_seed_verify
AL2011_T3,2830,71,27,77,0.33,275,380,275,160,230,125,12,95,23.0,150,875,ASM_GENERIC,typical_seed_verify
AL2014_T6,2800,73,28,78,0.33,415,480,415,240,290,145,13,135,23.0,155,875,ASM_GENERIC,typical_seed_verify
AL2024_T3,2780,73,28,78,0.33,345,485,345,200,285,140,18,120,23.2,121,875,NIST_ALUMINUM,typical_seed_verify
AL3003_H14,2730,69,26,76,0.33,145,150,145,84,95,55,8,40,23.2,160,900,ASM_GENERIC,typical_seed_verify
AL5005A_H34,2700,69,26,76,0.33,145,185,145,84,110,70,8,50,23.8,200,900,ASM_GENERIC,typical_seed_verify
AL5052_H32,2680,70,26,77,0.33,193,228,193,112,140,90,12,60,23.8,138,900,ASM_GENERIC,typical_seed_verify
AL5083_H111,2660,71,27,78,0.33,215,305,215,125,180,125,12,75,23.8,117,900,ASM_GENERIC,typical_seed_verify
AL5754_H111,2670,70,26,77,0.33,165,240,165,96,145,95,18,60,23.9,147,900,ASM_GENERIC,typical_seed_verify
AL6005A_T6,2700,69,26,76,0.33,260,290,260,150,175,95,10,90,23.4,180,900,ASM_GENERIC,typical_seed_verify
AL6060_T6,2700,69,26,76,0.33,190,215,190,110,130,70,8,70,23.4,200,900,ASM_GENERIC,typical_seed_verify
AL6061_T6,2700,69,26,76,0.33,276,310,276,160,205,96,12,95,23.6,167,900,NIST_ALUMINUM,typical_seed_verify
AL6063_T5,2700,69,26,76,0.33,145,185,145,84,110,68,12,60,23.4,201,900,ASM_GENERIC,typical_seed_verify
AL6063_T6,2700,69,26,76,0.33,215,240,215,125,145,70,10,73,23.4,201,900,ASM_GENERIC,typical_seed_verify
AL6082_T6,2700,70,26,77,0.33,260,310,260,150,185,95,10,95,23.1,180,900,ASM_GENERIC,typical_seed_verify
AL6262_T6,2710,69,26,76,0.33,240,290,240,140,175,90,10,85,23.4,172,900,ASM_GENERIC,typical_seed_verify
AL7050_T7451,2830,72,27,79,0.33,455,510,455,264,305,160,11,150,23.0,130,875,ASM_GENERIC,typical_seed_verify
AL7075_T6,2810,71.7,26.9,76,0.33,503,572,503,292,331,160,11,150,23.5,130,875,MATWEB_PUBLIC,typical_seed_verify
AL7075_T651,2810,71.7,26.9,76,0.33,503,572,503,292,331,160,11,150,23.5,130,875,MATWEB_PUBLIC,typical_seed_verify
STEEL_ST37_2,7850,200,77,160,0.30,235,370,235,136,220,160,25,120,12.0,54,486,EN_STEEL_PUBLIC,typical_seed_verify
STEEL_S235JR,7850,210,81,175,0.30,235,360,235,136,215,160,26,120,12.0,54,486,EN_STEEL_PUBLIC,typical_seed_verify
STEEL_S275JR,7850,210,81,175,0.30,275,430,275,160,255,180,22,140,12.0,54,486,EN_STEEL_PUBLIC,typical_seed_verify
STEEL_S355JR,7850,210,81,175,0.30,355,510,355,206,305,200,20,160,12.0,54,486,EN_STEEL_PUBLIC,typical_seed_verify
